"Institution (City, State)",Sector,Closure year,"Most recently reported total enrollment figures, covering a 12-month period","Most recently reported percentage of Pell Grant recipient students, covering a 12-month period","Most recently reported percentage of undergraduates receiving Pell grants, covering a 12-month period","Most recently reported total female undergraduate enrollment figures, covering a 12-month period","Most recently reported percentage of female students, covering a 12-month period","Most recently reported total minority undergraduate enrollment figures, covering a 12-month period","Most recently reported percentage of minroity students, covering a 12-month period","Most recently reported total American Indian undergraduate enrollment figures, covering a 12-month period","Most recently reported total Asian undergraduate enrollment figures, covering a 12-month period","Most recently reported total Black undergraduate enrollment figures, covering a 12-month period","Most recently reported total Hispanic undergraduate enrollment figures, covering a 12-month period","Most recently reported total Native Hawaiian undergraduate enrollment figures, covering a 12-month period","Most recently reported total White undergraduate enrollment figures, covering a 12-month period","Most recently reported total enrollment figures for undergraduates who disclosed two or more races, covering a 12-month period","Most recently reported total enrollment figures for undergraduates whose race/ethnicity was unknown or unreported, covering a 12-month period","Most recently reported total non-resident alien undergraduate enrollment figures, covering a 12-month period",Academic year: enrollment,Academic year: Pell grants
"Westwood College-Los Angeles (Los Angeles, CA)",For-profit,2016,3055,1132,67%,1655,54%,1508,49%,21,64,568,738,12,744,105,803,0,2015,2015
"Medtech Institute (Falls Church, VA)",For-profit,2016,3042,1896,62%,2602,86%,2777,91%,32,57,1667,983,4,58,34,204,3,2015,2015
"Technical Career Institutes (New York, NY)",For-profit,2017,2850,1707,82%,933,33%,2435,85%,22,111,1279,981,5,168,37,218,29,2016,2016
"Mid-Continent University (Mayfield, KY)",Private nonprofit,2014,2724,1225,56%,1727,63%,476,17%,6,6,383,49,3,2171,29,61,16,2013,2013
"Drake College of Business-Newark (Newark, NJ)",For-profit,2015,2669,2669,100%,1742,65%,2594,97%,0,0,2245,349,0,75,0,0,0,2014,2014
"BIR Training Center (Chicago, IL)",For-profit,2014,2577,2158,67%,1941,75%,1987,77%,0,19,1903,53,0,590,12,0,0,2015,2014
"Heald College-Fresno (Fresno, CA)",For-profit,2015,2556,1648,92%,1773,69%,1670,65%,19,132,200,1291,10,365,18,521,0,2014,2014
"Heald College-Honolulu (Honolulu, HI)",For-profit,2015,2554,1225,73%,1574,62%,1866,73%,12,785,113,76,468,167,412,521,0,2014,2014
"Heald College-San Jose (Milpitas, CA)",For-profit,2015,2552,1292,77%,1645,64%,1216,48%,18,340,82,689,31,169,56,1167,0,2014,2014
"Heald College-Concord (Concord, CA)",For-profit,2015,2289,1152,75%,1656,72%,1266,55%,20,187,404,473,66,502,116,521,0,2014,2014
"Wyotech-Long Beach (Long Beach, CA)",For-profit,2015,2197,1497,68%,220,10%,1837,84%,20,85,286,1283,44,331,119,29,0,2014,2014
"Heald College-Stockton (Stockton, CA)",For-profit,2015,2108,1247,88%,1477,70%,1359,64%,21,167,330,706,46,401,89,348,0,2014,2014
"Heald College-Roseville (Roseville, CA)",For-profit,2015,1986,1018,80%,1465,74%,293,15%,22,50,65,98,22,631,36,1062,0,2014,2014
"Professional Business College (New York, NY)",Private nonprofit,2014,1911,626,71%,1297,68%,1898,99%,0,796,559,543,0,13,0,0,0,2014,2014
"Mount Washington College (Manchester, NH)",For-profit,2016,1870,698,48%,1177,63%,568,30%,10,19,200,322,2,1204,15,57,41,2015,2015
"Heald College-Hayward (Hayward, CA)",For-profit,2015,1867,964,77%,1324,71%,1387,74%,11,229,363,625,94,215,65,265,0,2014,2014
"Marinello Schools of Beauty-Hemet (Hemet, CA)",For-profit,2016,1866,1218,65%,1805,97%,1095,59%,24,64,216,776,7,724,8,45,2,2015,2015
"Drake College of Business-Elizabeth (Elizabeth, NJ)",For-profit,2015,1816,1816,100%,1184,65%,1775,98%,0,0,1258,517,0,41,0,0,0,2014,2014
"Career Colleges of America (South Gate, CA)",For-profit,2014,1788,1823,78%,1428,80%,1608,90%,9,34,458,1090,14,159,3,20,1,2013,2012
"Sanford-Brown Institute-New York (New York, NY)",For-profit,2017,1787,1156,65%,1648,92%,1457,82%,8,27,652,756,6,99,8,231,0,2015,2015
"Wyotech-Fremont (Fremont, CA)",For-profit,2015,1778,1072,60%,65,4%,1287,72%,22,208,194,620,81,433,162,57,1,2014,2014
"Heald College-Rancho Cordova (Rancho Cordova, CA)",For-profit,2015,1778,1013,87%,1245,70%,528,30%,20,86,209,160,29,302,24,948,0,2014,2014
"Heald College-Modesto (Salida, CA)",For-profit,2015,1685,975,88%,1353,80%,429,25%,12,27,36,298,16,252,40,1004,0,2014,2014
"Everest College-City of Industry (City of Industry, CA)",For-profit,2015,1678,802,78%,1205,72%,1323,79%,7,51,51,1140,18,87,56,267,1,2014,2014
"ITT Technical Institute-Philadelphia (Philadelphia, PA)",For-profit,2016,1653,671,86%,330,20%,1419,86%,5,24,1169,158,0,146,63,86,2,2015,2015
"Heald College-San Francisco (San Francisco, CA)",For-profit,2015,1628,802,74%,1006,62%,1361,84%,22,375,363,489,56,223,56,44,0,2014,2014
"Sojourner-Douglass College (Baltimore, MD)",Private nonprofit,2015,1622,700,68%,1446,89%,1445,89%,2,4,1426,12,1,41,0,0,136,2014,2014
"ITT Technical Institute-National City (National City, CA)",For-profit,2016,1514,795,80%,250,17%,1111,73%,25,225,264,524,10,352,63,51,0,2015,2015
"The Art Institute of Philadelphia (Philadelphia, PA)",For-profit,2018,1496,639,60%,804,54%,606,41%,0,28,369,209,0,264,0,592,34,2017,2017
"Virginia College-Augusta (Augusta, GA)",For-profit,2018,1479,1024,69%,1288,87%,1215,82%,2,10,1148,37,1,220,17,44,0,2017,2017
"Brightwood College-San Diego (San Diego, CA)",For-profit,2018,1473,829,56%,1137,77%,1002,68%,10,282,130,528,28,343,24,128,0,2017,2017
"Dade Medical College-Miami (Miami, FL)",For-profit,2015,1465,947,60%,1143,78%,1428,97%,2,4,184,1235,0,29,3,8,0,2015,2014
"ITT Technical Institute-Baton Rouge (Baton Rouge, LA)",For-profit,2016,1456,481,75%,517,36%,986,68%,6,14,919,33,0,447,14,23,0,2015,2015
"Heald College-Salinas (Salinas, CA)",For-profit,2015,1439,957,89%,1063,74%,527,37%,1,25,24,461,4,83,12,829,0,2014,2014
"American Beauty Academy (Wheaton, MD)",For-profit,2015,1414,921,64%,1002,71%,1215,86%,2,15,1005,183,5,180,5,17,2,2015,2014
"The Illinois Institute of Art-Chicago (Chicago, IL)",For-profit,2018,1392,653,67%,768,55%,962,69%,10,43,611,287,11,326,0,77,27,2017,2017
"ITT Technical Institute-Springfield (Springfield, VA)",For-profit,2016,1357,479,63%,370,27%,1149,85%,7,67,871,166,1,142,37,66,0,2015,2015
"Westwood College-Inland Empire (Upland, CA)",For-profit,2016,1332,682,81%,628,47%,876,66%,3,18,68,764,5,102,18,354,0,2015,2015
"ITT Technical Institute-Richardson (Richardson, TX)",For-profit,2016,1331,531,75%,443,33%,832,63%,7,30,485,280,0,448,30,51,0,2015,2015
"ITT Technical Institute-Mobile (Mobile, AL)",For-profit,2016,1302,593,81%,575,44%,859,66%,17,5,804,18,1,427,14,16,0,2015,2015
"Saint Josephs College (Rensselaer, IN)",Private nonprofit,2017,1294,331,31%,749,58%,210,16%,5,5,108,55,4,1054,33,6,24,2016,2016
"Anthem Career College-Memphis (Memphis, TN)",For-profit,2014,1285,557,78%,1133,88%,1142,89%,3,3,1097,11,0,141,28,1,1,2013,2013
"Everest College-Ontario (Ontario, CA)",For-profit,2015,1283,834,65%,977,76%,1018,79%,15,41,144,728,16,221,74,44,0,2014,2014
"Career Point College (San Antonio, TX)",For-profit,2016,1281,1062,81%,1110,87%,1082,84%,0,0,211,871,0,187,0,12,0,2015,2015
"ITT Technical Institute-Norfolk (Norfolk, VA)",For-profit,2016,1259,573,82%,472,37%,934,74%,5,17,802,58,1,291,51,34,0,2015,2015
"ITT Technical Institute-Orange (Orange, CA)",For-profit,2016,1254,608,78%,234,19%,856,68%,14,145,70,583,2,365,42,33,0,2015,2015
"Virginia College-Jacksonville (Jacksonville, FL)",For-profit,2018,1247,830,67%,861,69%,918,74%,2,14,777,107,2,272,16,56,1,2017,2017
"Everest College-San Bernardino (San Bernardino, CA)",For-profit,2015,1233,572,77%,718,58%,1025,83%,16,19,228,655,19,170,88,38,0,2014,2014
"The Art Institute of Phoenix (Phoenix, AZ)",For-profit,2016,1227,579,64%,614,50%,606,49%,56,19,109,381,9,330,32,283,8,2017,2017
"ITT Technical Institute-San Bernardino (San Bernardino, CA)",For-profit,2016,1204,578,84%,270,22%,918,76%,15,57,203,576,0,249,67,37,0,2015,2015
"AIB College of Business (Des Moines, IA)",Private nonprofit,2016,1201,448,40%,656,55%,133,11%,4,11,42,53,5,543,18,504,21,2015,2015
"The Art Institute of Colorado (Denver, CO)",For-profit,2018,1177,404,50%,560,48%,402,34%,13,27,75,257,3,490,27,250,35,2017,2017
"Everest College-Bedford Park (Bedford Park, IL)",For-profit,2015,1166,839,72%,1016,87%,1089,93%,3,5,692,362,0,67,27,10,0,2014,2014
"ITT Technical Institute-Houston North (Houston, TX)",For-profit,2016,1158,521,81%,280,24%,834,72%,7,19,444,328,0,301,36,23,0,2015,2015
"ITT Technical Institute-Jacksonville (Jacksonville, FL)",For-profit,2016,1152,462,77%,380,33%,653,57%,6,35,498,87,0,468,27,31,0,2015,2015
"MedTech College (Indianapolis, IN)",For-profit,2016,1136,740,65%,1059,93%,534,47%,0,3,479,24,1,209,27,393,0,2015,2015
"Virginia College-Baton Rouge (Baton Rouge, LA)",For-profit,2018,1135,870,77%,989,87%,1000,88%,2,2,963,14,1,62,18,73,0,2017,2017
"National Labor College (Silver Spring, MD)",Private nonprofit,2014,1120,94,15%,258,23%,308,28%,6,12,200,61,5,674,24,127,11,2013,2013
"Vatterott College-Berkeley (Berkeley, MO)",For-profit,2018,1119,837,95%,428,38%,1013,91%,7,6,982,3,0,100,15,5,1,2017,2017
"Everest College-Reseda (Reseda, CA)",For-profit,2015,1114,489,70%,825,74%,828,74%,8,70,70,635,10,128,35,158,0,2014,2014
"Virginia College-Columbus (Columbus, GA)",For-profit,2018,1105,817,74%,893,81%,812,73%,0,4,757,39,0,140,12,153,0,2017,2017
"Heald College-Portland (Portland, OR)",For-profit,2015,1103,562,82%,767,70%,351,32%,30,47,113,110,18,695,33,57,0,2014,2014
"Saint Catharine College (Saint Catharine, KY)",Private nonprofit,2016,1099,280,30%,672,61%,162,15%,3,4,86,45,3,911,21,15,11,2015,2015
"ITT Technical Institute-Houston West (Houston, TX)",For-profit,2016,1094,485,79%,241,22%,853,78%,6,40,448,334,1,177,24,64,0,2015,2015
"Brightwood College-Las Vegas (Las Vegas, NV)",For-profit,2018,1088,780,72%,852,78%,832,76%,3,85,312,364,36,206,32,50,0,2017,2017
"ITT Technical Institute-Arlington (Arlington, TX)",For-profit,2016,1080,441,74%,293,27%,705,65%,9,27,424,228,1,354,16,21,0,2015,2015
"ITT Technical Institute-Cordova (Cordova, TN)",For-profit,2016,1059,438,80%,298,28%,829,78%,3,11,768,34,0,202,13,28,0,2015,2015
"Everest College-Merrillville (Merrillville, IN)",For-profit,2015,1055,782,74%,851,81%,694,66%,4,5,534,111,0,329,40,32,0,2014,2014
"Charlotte School of Law (Charlotte, NC)",For-profit,2017,1054,,NA,676,64%,588,56%,9,40,452,70,2,435,15,31,0,2016,NA
"ITT Technical Institute-Sylmar (Sylmar, CA)",For-profit,2016,1033,438,72%,262,25%,746,72%,6,95,99,518,4,247,24,40,0,2015,2015
"Everest Institute-North Miami (Miami, FL)",For-profit,2015,1026,585,76%,675,66%,979,95%,1,3,660,292,0,38,23,9,0,2014,2014
"ITT Technical Institute-Fort Lauderdale (Fort Lauderdale, FL)",For-profit,2016,1007,416,75%,306,30%,783,78%,4,24,445,268,0,176,42,48,0,2015,2015
"Argosy University-The Art Institute of California-Orange County (Santa Ana, CA)",For-profit,2018,989,438,57%,446,45%,479,48%,3,55,19,365,6,170,31,294,46,2017,2017
"ITT Technical Institute-Tampa (Tampa, FL)",For-profit,2016,988,364,77%,262,27%,535,54%,8,19,218,252,1,424,37,29,0,2015,2015
"Mattia College (Miami, FL)",For-profit,2016,984,900,93%,679,69%,972,99%,0,3,42,927,0,12,0,0,0,2015,2015
"Radians College (Washington, DC)",For-profit,2016,983,547,56%,839,85%,903,92%,19,25,814,18,0,3,27,77,0,2015,2015
"ITT Technical Institute-Richmond (Richmond, VA)",For-profit,2016,982,453,80%,329,34%,725,74%,6,14,642,42,0,231,21,26,0,2015,2015
"Virginia College-Huntsville (Huntsville, AL)",For-profit,2018,979,647,66%,717,73%,585,60%,0,5,524,32,1,322,23,72,0,2017,2017
"Everest College-Melrose Park (Melrose Park, IL)",For-profit,2015,975,734,75%,850,87%,854,88%,2,5,398,424,3,84,22,37,0,2014,2014
"Virginia College-Montgomery (Montgomery, AL)",For-profit,2018,971,675,70%,849,87%,746,77%,0,5,688,40,0,127,13,98,0,2017,2017
"Vatterott College-Dividend (Memphis, TN)",For-profit,2018,971,717,93%,408,42%,933,96%,1,3,912,14,0,35,3,3,0,2017,2017
"ITT Technical Institute-Las Vegas (North Las Vegas, NV)",For-profit,2016,968,391,77%,232,24%,686,71%,13,63,284,244,6,261,76,21,0,2015,2015
"The National Hispanic University (San Jose, CA)",For-profit,2015,965,243,48%,684,71%,378,39%,13,12,17,316,5,122,15,465,0,2014,2014
"Heritage Institute-Ft Myers (Fort Myers, FL)",For-profit,2016,964,754,73%,782,81%,469,49%,0,1,125,314,0,406,29,89,0,2016,2015
"Virginia College-Shreveport (Bossier City, LA)",For-profit,2018,963,702,73%,836,87%,762,79%,0,2,728,29,0,142,3,59,0,2017,2017
"ITT Technical Institute-Bessemer (Bessemer, AL)",For-profit,2016,963,383,77%,448,47%,612,64%,3,7,587,11,0,339,4,12,0,2015,2015
"ITT Technical Institute-Portland (Portland, OR)",For-profit,2016,960,401,71%,437,46%,260,27%,19,68,80,58,5,685,30,15,0,2015,2015
"The Bryman School of Arizona (Phoenix, AZ)",For-profit,2014,959,423,70%,688,72%,629,66%,83,20,65,337,1,330,123,0,0,2013,2013
"Marinello Schools of Beauty-San Francisco (San Francisco, CA)",For-profit,2016,957,618,65%,867,91%,529,55%,19,39,102,352,5,387,12,41,0,2015,2015
"Four-D College (Colton, CA)",For-profit,2015,941,802,85%,814,87%,655,70%,3,32,253,364,3,286,0,0,0,2014,2014
"Everest Institute-Rochester (Rochester, NY)",For-profit,2015,941,580,94%,689,73%,595,63%,5,5,379,175,1,316,30,30,0,2014,2014
"ITT Technical Institute-Atlanta (Atlanta, GA)",For-profit,2016,940,401,84%,274,29%,844,90%,1,9,790,24,1,72,19,24,0,2015,2015
"The Art Institute of Michigan (Novi, MI)",For-profit,2018,939,428,60%,512,55%,440,47%,6,16,319,63,3,308,33,183,8,2017,2017
"Virginia College-Austin (Austin, TX)",For-profit,2018,936,493,53%,790,84%,644,69%,2,20,164,436,1,215,21,77,0,2017,2017
"Westwood College-Anaheim (Anaheim, CA)",For-profit,2016,935,449,76%,412,44%,548,59%,6,35,20,444,8,160,35,227,0,2015,2015
"Virginia College-Savannah (Savannah, GA)",For-profit,2018,929,648,70%,750,81%,720,78%,3,8,666,26,1,156,16,53,0,2017,2017
"ITT Technical Institute-Earth City (Earth City, MO)",For-profit,2016,927,393,76%,324,35%,507,55%,5,12,451,14,0,372,25,48,0,2015,2015
"The Art Institute of Washington (Arlington, VA)",For-profit,2018,925,346,52%,387,42%,679,73%,9,30,490,143,7,166,0,60,20,2017,2017
"MedTech Institute-Orlando Campus (Orlando, FL)",For-profit,2016,924,656,71%,843,91%,739,80%,6,15,500,209,0,119,9,66,0,2015,2015
"Everest Institute-Dearborn (Dearborn, MI)",Private nonprofit,2016,922,628,68%,758,82%,601,65%,4,4,507,48,1,262,37,59,0,2015,2015
"ITT Technical Institute-San Antonio (San Antonio, TX)",For-profit,2016,922,391,78%,188,20%,682,74%,7,18,119,498,1,214,39,26,0,2015,2015
"Everest University-Pompano Beach (Pompano Beach, FL)",Private nonprofit,2017,918,438,77%,709,77%,721,79%,3,9,607,73,0,151,29,45,1,2016,2016
"ITT Technical Institute-Troy (Troy, MI)",For-profit,2016,918,365,78%,203,22%,385,42%,3,29,313,26,0,470,14,63,0,2015,2015
"Marinello Schools of Beauty-Santa Clara (Santa Clara, CA)",For-profit,2016,912,607,67%,784,86%,688,75%,10,78,138,452,6,185,4,37,2,2015,2015
"ITT Technical Institute-Torrance (Torrance, CA)",For-profit,2016,912,353,78%,210,23%,785,86%,5,81,246,411,1,83,41,44,0,2015,2015
"Miller-Motte Technical College-Clarksville (Clarksville, TN)",For-profit,2018,909,268,71%,635,70%,398,44%,1,7,304,52,5,497,29,14,0,2017,2017
"ITT Technical Institute-Duluth (Duluth, GA)",For-profit,2016,907,431,76%,234,26%,655,72%,8,32,471,107,0,209,37,43,0,2015,2015
"ITT Technical Institute-Owings Mills (Owings Mills, MD)",For-profit,2016,906,410,74%,199,22%,682,75%,9,16,591,30,2,180,34,44,0,2015,2015
"Brightwood College-Vista (Vista, CA)",For-profit,2018,904,613,68%,703,78%,593,66%,10,54,62,410,21,246,36,65,0,2017,2017
"Globe University-Woodbury (Woodbury, MN)",For-profit,2017,900,433,60%,593,66%,170,19%,13,45,54,51,2,702,5,28,0,2016,2015
"Missouri College (Brentwood, MO)",For-profit,2016,899,359,61%,822,91%,413,46%,5,7,395,1,1,380,4,106,0,2016,2015
"Heritage College-Oklahoma City (Oklahoma City, OK)",For-profit,2016,897,642,63%,759,85%,325,36%,15,8,139,123,0,496,40,76,0,2016,2015
"ITT Technical Institute-Nashville (Nashville, TN)",For-profit,2017,896,391,71%,324,36%,377,42%,5,24,275,52,1,505,20,14,0,2015,2015
"Lincoln College of Technology-West Palm Beach (West Palm Beach, FL)",For-profit,2017,895,396,70%,372,42%,595,66%,2,12,359,190,1,282,31,16,2,2016,2016
"Everest College-Alhambra (Alhambra, CA)",For-profit,2015,891,674,76%,665,75%,835,94%,1,54,37,698,10,25,35,31,0,2014,2014
"Everest College-Anaheim (Anaheim, CA)",For-profit,2015,879,403,70%,666,76%,705,80%,12,69,55,521,10,137,38,37,0,2014,2014
"Everest Institute-Bensalem (Bensalem, PA)",For-profit,2015,879,653,74%,674,77%,650,74%,5,6,422,166,0,158,51,71,0,2014,2014
"Everest Institute-Grand Rapids (Grand Rapids, MI)",For-profit,2015,878,598,68%,774,88%,345,39%,6,9,189,103,0,490,38,43,0,2014,2014
"Laurus Technical Institute (Decatur, GA)",For-profit,2015,874,499,57%,194,22%,808,92%,1,7,780,19,0,60,1,6,0,2014,2014
"Argosy University-The Art Institute of California-San Francisco (San Francisco, CA)",For-profit,2018,866,380,60%,360,42%,494,57%,4,78,93,246,13,138,60,172,62,2017,2017
"Everest Institute-Silver Spring (Silver Spring, MD)",For-profit,2015,865,563,65%,744,86%,732,85%,2,14,568,135,0,45,13,88,0,2014,2014
"Everest College-Earth City (Earth City, MO)",For-profit,2015,865,607,70%,726,84%,678,78%,1,5,627,14,0,179,31,8,0,2014,2014
"Heritage College-Little Rock (Little Rock, AR)",For-profit,2016,858,592,65%,730,85%,526,61%,4,5,474,30,1,325,12,7,0,2016,2015
"ITT Technical Institute-San Dimas (San Dimas, CA)",For-profit,2016,852,443,80%,171,20%,632,74%,4,69,54,475,1,181,29,39,0,2015,2015
"MedTech College-Ft Wayne Campus (Ft. Wayne, IN)",For-profit,2016,846,582,69%,790,93%,304,36%,3,3,230,43,0,512,25,30,0,2015,2015
"Brightwood Career Institute-Philadelphia Mills (Philadelphia, PA)",For-profit,2018,845,633,75%,599,71%,545,64%,3,35,234,246,0,237,27,63,0,2017,2017
"ITT Technical Institute-Norwood (Norwood, OH)",For-profit,2016,843,334,84%,319,38%,447,53%,7,7,399,16,0,380,18,16,0,2015,2015
"DeVry University-Washington (Federal Way, WA)",For-profit,2015,839,193,52%,331,39%,308,37%,7,89,109,61,19,453,23,54,24,2015,2015
"Marinello Schools of Beauty-Sacramento (Sacramento, CA)",For-profit,2016,838,640,76%,804,96%,551,66%,7,42,189,294,9,259,10,28,0,2015,2015
"Brightwood Career Institute-Philadelphia (Philadelphia, PA)",For-profit,2018,835,663,79%,575,69%,751,90%,0,12,571,167,1,45,0,39,0,2017,2017
"Minnesota School of Business-Richfield (Richfield, MN)",For-profit,2017,827,374,54%,545,66%,193,23%,12,42,91,42,5,607,1,26,1,2016,2015
"Brightwood College-Baltimore (Baltimore, MD)",For-profit,2018,827,612,74%,623,75%,693,84%,7,3,617,51,2,115,13,19,0,2017,2017
"ITT Technical Institute-Charlotte North (Charlotte, NC)",For-profit,2016,826,349,83%,229,28%,655,79%,6,12,563,55,0,146,19,25,0,2015,2015
"ITT Technical Institute-Youngstown (Youngstown, OH)",For-profit,2016,826,436,85%,497,60%,206,25%,7,2,153,24,0,602,20,18,0,2015,2015
"Marinello Schools of Beauty-Lake Forest (Lake Forest, CA)",For-profit,2016,825,654,79%,796,96%,502,61%,8,22,38,426,2,230,6,93,0,2015,2015
"Virginia College-Knoxville (Knoxville, TN)",For-profit,2018,822,605,74%,682,83%,179,22%,1,0,142,16,0,470,20,173,0,2017,2017
"Everest College-Gardena (Gardena, CA)",For-profit,2015,820,615,75%,688,84%,751,92%,3,20,363,310,12,26,43,43,0,2014,2014
"ITT Technical Institute-Chantilly (Chantilly, VA)",For-profit,2016,816,322,59%,195,24%,529,65%,5,68,214,220,0,255,22,32,0,2015,2015
"ITT Technical Institute-Rancho Cordova (Rancho Cordova, CA)",For-profit,2016,816,358,72%,192,24%,333,41%,14,69,108,101,1,356,40,127,0,2015,2015
"Northwood University-Florida (West Palm Beach, FL)",Private nonprofit,2015,813,210,34%,332,41%,220,27%,5,4,103,102,0,184,6,176,233,2014,2014
"ITT Technical Institute-Austin (Austin, TX)",For-profit,2016,813,325,74%,171,21%,481,59%,8,19,173,244,1,308,36,24,0,2015,2015
"ITT Technical Institute-Orland Park (Orland Park, IL)",For-profit,2016,808,403,77%,411,51%,625,77%,6,17,499,79,0,156,24,27,0,2015,2015
"ITT Technical Institute-Louisville (Louisville, KY)",For-profit,2016,806,330,75%,287,36%,306,38%,6,12,223,30,1,483,34,17,0,2015,2015
"Anthem Institute-Las Vegas (Las Vegas, NV)",For-profit,2014,803,377,72%,661,82%,625,78%,7,60,169,262,10,178,117,0,0,2013,2013
"ITT Technical Institute-Tucson (Tucson, AZ)",For-profit,2016,803,315,79%,170,21%,432,54%,45,18,54,279,3,337,33,34,0,2015,2015
"ITT Technical Institute-Warrensville Heights (Warrensville Heights, OH)",For-profit,2016,803,325,80%,376,47%,675,84%,2,3,645,4,1,100,20,28,0,2015,2015
"ITT Technical Institute-Saint Rose (Saint Rose, LA)",For-profit,2016,801,327,79%,216,27%,542,68%,10,11,462,50,0,250,9,9,0,2015,2015
"Daniel Webster College (Nashua, NH)",For-profit,2016,798,238,34%,182,23%,203,25%,2,32,77,57,1,489,34,105,1,2016,2015
"Virginia College-Richmond (Richmond, VA)",For-profit,2018,798,489,61%,612,77%,600,75%,0,6,550,31,0,102,13,95,1,2017,2017
"ITT Technical Institute-High Point (High Point, NC)",For-profit,2016,794,318,75%,437,55%,498,63%,9,6,435,38,0,276,10,20,0,2015,2015
"National Massage Therapy Institute (Philadelphia, PA)",For-profit,2015,792,388,49%,521,66%,245,31%,1,13,194,33,0,77,4,470,0,2014,2014
"Bramson ORT College (Forest Hills, NY)",Private nonprofit,2017,791,69,14%,494,62%,429,54%,3,138,143,145,0,214,0,135,13,2016,2016
"ITT Technical Institute-Lathrop (Lathrop, CA)",For-profit,2016,789,368,78%,176,22%,511,65%,12,89,73,282,0,259,55,19,0,2015,2015
"Westwood College-Atlanta Peachtree Center Campus (Atlanta, GA)",For-profit,2016,786,339,80%,421,54%,566,72%,3,5,501,42,2,30,13,190,0,2015,2015
"Brightwood College-Indianapolis (Indianapolis, IN)",For-profit,2018,785,523,67%,718,91%,417,53%,2,47,281,74,1,313,12,55,0,2017,2017
"ITT Technical Institute-Tempe (Tempe, AZ)",For-profit,2016,783,318,71%,149,19%,424,54%,98,16,83,198,0,340,29,19,0,2015,2015
"ITT Technical Institute-Tulsa (Tulsa, OK)",For-profit,2016,781,347,74%,370,47%,285,36%,91,18,115,36,0,465,25,31,0,2015,2015
"Everest College-Fort Worth (Fort Worth, TX)",For-profit,2015,779,336,67%,651,84%,457,59%,5,8,141,262,5,317,36,5,0,2014,2014
"American Career College-Long Beach (Long Beach, CA)",For-profit,2018,775,506,65%,643,83%,727,94%,2,54,146,472,15,46,38,2,0,2017,2017
